Station Id,Date,Hour,Acreage(ft^2),Julian Date,Reference Eto,Precip,Solar Rad,Vapor pressure,Air temp,RH,Dew Point,Wind speed,Wind direction,Soil temp,WaterConsumption,WC/ft
211,4/19/2015,100,320,109,0,0,0,1,9.1,89,7.4,2.4,127,14.8,0.0041666,1.30206E-05
211,4/19/2015,200,320,109,0,0,0,1,9.1,90,7.5,2.8,132,14.7,0.0041666,1.30206E-05
211,4/19/2015,300,320,109,0,0,0,1.1,9.8,89,8.1,3.4,147,14.6,0.0041666,1.30206E-05
211,4/19/2015,400,320,109,0,0,0,1.1,9.6,89,7.9,3.2,138,14.5,0.0041666,1.30206E-05
211,4/19/2015,500,320,109,0,0,0,1.1,9.6,90,7.9,3.2,144,14.5,0.0041666,1.30206E-05
211,4/19/2015,600,320,109,0,0,3,1.1,9.4,90,7.9,3.1,143,14.4,0.0041666,1.30206E-05
211,4/19/2015,700,320,109,0.01,0,10,1.1,9.4,90,7.8,2.7,139,14.4,0.0041666,1.30206E-05
211,4/19/2015,800,320,109,0.01,0,40,1.1,9.4,90,7.8,2.4,143,14.3,0.0041666,1.30206E-05
211,4/19/2015,900,320,109,0.05,0,128,1.1,9.8,89,8,1.9,162,14.3,0.0041666,1.30206E-05
211,4/19/2015,1000,320,109,0.3,0,550,1.1,11.6,82,8.7,1.7,178,14.3,0.0041666,1.30206E-05
211,4/19/2015,1100,320,109,0.49,0,804,1.2,14.5,73,9.8,1.8,171,14.3,0.0041666,1.30206E-05
211,4/19/2015,1200,320,109,0.58,0,918,1.2,17.7,61,10.1,1.7,155,14.4,0.0041666,1.30206E-05
211,4/19/2015,1300,320,109,0.63,0,899,1.3,20.9,52,10.7,1.7,76,14.5,0.0041666,1.30206E-05
211,4/19/2015,1400,320,109,0.64,0,842,1.4,22.9,49,11.6,2.6,89,14.7,0.0041666,1.30206E-05
211,4/19/2015,1500,320,109,0.6,0,733,1.4,23.7,46,11.4,4.1,145,15,0.0041666,1.30206E-05
211,4/19/2015,1600,320,109,0.48,0,580,1.3,22.4,47,10.6,4.4,145,15.2,0.0041666,1.30206E-05
211,4/19/2015,1700,320,109,0.32,0,404,1.3,20.1,54,10.4,4.3,127,15.4,0.0041666,1.30206E-05
211,4/19/2015,1800,320,109,0.17,0,203,1.2,16.8,64,9.9,4.7,133,15.5,0.0041666,1.30206E-05
211,4/19/2015,1900,320,109,0.03,0,32,1.2,13.7,74,9.2,4.4,135,15.5,0.0041666,1.30206E-05
211,4/19/2015,2000,320,109,0,0,0,1.1,12.2,80,8.9,3.4,123,15.5,0.0041666,1.30206E-05
211,4/19/2015,2100,320,109,0,0,0,1.1,11.3,85,8.8,2.9,137,15.4,0.0041666,1.30206E-05
211,4/19/2015,2200,320,109,0,0,0,1.1,10.8,86,8.6,1.8,119,15.3,0.0041666,1.30206E-05
211,4/19/2015,2300,320,109,0,0,0,1.1,10.3,87,8.3,1.6,123,15.2,0.0041666,1.30206E-05
211,4/19/2015,2400,320,109,0,0,0,1.1,10.5,88,8.6,2.2,135,15.1,0.0041666,1.30206E-05
211,4/20/2015,100,320,110,0,0,0,1.1,11,87,8.9,1.9,149,15,0.0041666,1.30206E-05
211,4/20/2015,200,320,110,0,0,0,1.2,11.3,87,9.3,2.4,170,14.9,0.0041666,1.30206E-05
211,4/20/2015,300,320,110,0,0,0,1.2,11,89,9.3,2,138,14.9,0.0041666,1.30206E-05
211,4/20/2015,400,320,110,0,0,0,1.2,11,90,9.4,2.2,143,14.9,0.0041666,1.30206E-05
211,4/20/2015,500,320,110,0,0,0,1.2,10.9,91,9.4,2.4,149,14.8,0.0041666,1.30206E-05
211,4/20/2015,600,320,110,0,0,2,1.2,10.9,91,9.4,2.6,163,14.8,0.0041666,1.30206E-05
211,4/20/2015,700,320,110,0.02,0,25,1.2,10.8,91,9.4,2.4,162,14.8,0.0041666,1.30206E-05
211,4/20/2015,800,320,110,0.03,0,72,1.2,11.2,88,9.3,2.4,165,14.7,0.0041666,1.30206E-05
211,4/20/2015,900,320,110,0.06,0,134,1.2,11.5,86,9.2,2.4,161,14.7,0.0041666,1.30206E-05
211,4/20/2015,1000,320,110,0.09,0,212,1.2,12.1,83,9.4,2,149,14.7,0.0041666,1.30206E-05
211,4/20/2015,1100,320,110,0.24,0,424,1.2,13.5,80,10.1,2.3,118,14.7,0.0041666,1.30206E-05
211,4/20/2015,1200,320,110,0.49,0,758,1.3,15.6,73,10.8,3.1,92,14.7,0.0041666,1.30206E-05
211,4/20/2015,1300,320,110,0.61,0,885,1.3,17.9,66,11.3,3.5,126,14.8,0.0041666,1.30206E-05
211,4/20/2015,1400,320,110,0.58,0,825,1.4,19.4,61,11.6,3.1,137,14.9,0.0041666,1.30206E-05
211,4/20/2015,1500,320,110,0.52,0,710,1.4,20.4,57,11.7,3.4,147,15.1,0.0041666,1.30206E-05
211,4/20/2015,1600,320,110,0.41,0,557,1.3,19.6,59,11.3,3.7,152,15.2,0.0041666,1.30206E-05
211,4/20/2015,1700,320,110,0.27,0,381,1.3,17.9,63,10.7,3.8,137,15.4,0.0041666,1.30206E-05
211,4/20/2015,1800,320,110,0.15,0,197,1.2,16,68,10.1,4,144,15.4,0.0041666,1.30206E-05
211,4/20/2015,1900,320,110,0.03,0,34,1.2,13.8,74,9.3,3.5,144,15.5,0.0041666,1.30206E-05
211,4/20/2015,2000,320,110,0,0,0,1.1,12.7,78,8.8,2.3,138,15.4,0.0041666,1.30206E-05
211,4/20/2015,2100,320,110,0,0,0,1.1,11.9,81,8.7,2.3,127,15.4,0.0041666,1.30206E-05
211,4/20/2015,2200,320,110,0,0,0,1.1,11.8,82,8.9,2,86,15.3,0.0041666,1.30206E-05
211,4/20/2015,2300,320,110,0,0,0,1.2,12.1,83,9.2,1.5,209,15.2,0.0041666,1.30206E-05
211,4/20/2015,2400,320,110,0,0,0,1.2,12.2,82,9.2,1.5,298,15.2,0.0041666,1.30206E-05
211,4/21/2015,100,320,111,0.01,0,0,1.2,12,82,9.1,1.6,230,15.1,0.0041666,1.30206E-05
211,4/21/2015,200,320,111,0.01,0,0,1.1,11.6,84,8.9,2.4,186,15.1,0.0041666,1.30206E-05
211,4/21/2015,300,320,111,0.01,0,0,1.1,11.3,83,8.6,2.3,197,15.1,0.0041666,1.30206E-05
211,4/21/2015,400,320,111,0.01,0,0,1.1,11.3,81,8.1,2.5,200,15,0.0041666,1.30206E-05
211,4/21/2015,500,320,111,0.01,0,0,1.1,11.2,80,7.9,2.1,202,15,0.0041666,1.30206E-05
211,4/21/2015,600,320,111,0.01,0,2,1.1,11,84,8.4,2,207,14.9,0.0041666,1.30206E-05
211,4/21/2015,700,320,111,0.02,0,24,1.1,11.2,85,8.8,1.9,207,14.9,0.0041666,1.30206E-05
211,4/21/2015,800,320,111,0.02,0,58,1.2,11.2,88,9.3,2.7,162,14.7,0.0041666,1.30206E-05
211,4/21/2015,900,320,111,0.04,0,100,1.2,11.9,84,9.3,2.9,188,14.6,0.0041666,1.30206E-05
211,4/21/2015,1000,320,111,0.09,0,180,1.1,13,76,9,2.6,209,14.6,0.0041666,1.30206E-05
211,4/21/2015,1100,320,111,0.12,0,232,1.2,13.2,79,9.6,3.5,199,14.6,0.0041666,1.30206E-05
211,4/21/2015,1200,320,111,0.12,0,247,1.2,13.6,77,9.7,3.2,213,14.6,0.0041666,1.30206E-05
211,4/21/2015,1300,320,111,0.26,0,451,1.2,14.1,76,10.1,3.7,216,14.6,0.0041666,1.30206E-05
211,4/21/2015,1400,320,111,0.46,0,702,1.2,15.3,71,10.1,4.1,219,14.7,0.0041666,1.30206E-05
211,4/21/2015,1500,320,111,0.2,0,315,1.2,15.2,69,9.5,3.7,219,14.8,0.0041666,1.30206E-05
211,4/21/2015,1600,320,111,0.24,0,359,1.2,15.4,66,9.1,3.5,217,14.9,0.0041666,1.30206E-05
211,4/21/2015,1700,320,111,0.17,0,247,1.1,15,67,8.9,3.1,206,15,0.0041666,1.30206E-05
211,4/21/2015,1800,320,111,0.06,0,61,1.1,13.9,71,8.8,2.4,226,15,0.0041666,1.30206E-05
211,4/21/2015,1900,320,111,0.03,0,11,1.1,13,75,8.7,2.3,215,15.1,0.0041666,1.30206E-05
211,4/21/2015,2000,320,111,0.02,0,0,1.1,12.4,78,8.6,3.3,190,15.1,0.0041666,1.30206E-05
211,4/21/2015,2100,320,111,0.01,0,0,1.1,12,81,8.9,3.1,194,15.1,0.0041666,1.30206E-05
211,4/21/2015,2200,320,111,0.01,0,0,1.1,11.9,82,8.9,2.7,182,15.1,0.0041666,1.30206E-05
211,4/21/2015,2300,320,111,0.01,0,0,1.1,11.8,83,9,2.7,184,15.1,0.0041666,1.30206E-05
211,4/21/2015,2400,320,111,0,0,0,1.2,11.4,88,9.4,3.2,168,15,0.0041666,1.30206E-05
211,4/22/2015,100,320,112,0,0,0,1.2,11.1,89,9.4,3,168,15,0.0041666,1.30206E-05
211,4/22/2015,200,320,112,0,0,0,1.2,11.4,86,9.2,2.9,175,14.9,0.0041666,1.30206E-05
211,4/22/2015,300,320,112,0.01,0,0,1.2,11.3,87,9.1,3.1,177,14.9,0.0041666,1.30206E-05
211,4/22/2015,400,320,112,0,0,0,1.2,10.9,89,9.1,3.2,167,14.9,0.0041666,1.30206E-05
211,4/22/2015,500,320,112,0,0,0,1.2,10.5,93,9.4,2.6,144,14.9,0.0041666,1.30206E-05
211,4/22/2015,600,320,112,0,0,4,1.2,10.4,93,9.3,2.7,140,14.8,0.0041666,1.30206E-05
211,4/22/2015,700,320,112,0.04,0,58,1.2,10.4,91,9,2.7,174,14.8,0.0041666,1.30206E-05
211,4/22/2015,800,320,112,0.06,0,112,1.1,11,86,8.6,3.2,183,14.8,0.0041666,1.30206E-05
211,4/22/2015,900,320,112,0.12,0,218,1.1,11.7,83,8.9,3.6,175,14.8,0.0041666,1.30206E-05
211,4/22/2015,1000,320,112,0.18,0,331,1.1,12.4,78,8.8,3.6,198,14.8,0.0041666,1.30206E-05
211,4/22/2015,1100,320,112,0.4,0,653,1.2,13.5,75,9.1,3.5,225,14.8,0.0041666,1.30206E-05
211,4/22/2015,1200,320,112,0.4,0,638,1.2,14.1,72,9.2,3.2,237,14.8,0.0041666,1.30206E-05
211,4/22/2015,1300,320,112,0.45,0,695,1.2,15.1,69,9.6,3,218,14.9,0.0041666,1.30206E-05
211,4/22/2015,1400,320,112,0.55,0,836,1.2,15.8,68,9.8,3.9,205,15.1,0.0041666,1.30206E-05
211,4/22/2015,1500,320,112,0.49,0,721,1.2,16.3,65,9.8,4.3,180,15.2,0.0041666,1.30206E-05
211,4/22/2015,1600,320,112,0.36,0,547,1.2,16.5,64,9.7,2.9,174,15.4,0.0041666,1.30206E-05
211,4/22/2015,1700,320,112,0.26,0,389,1.2,16.2,65,9.6,3.1,156,15.5,0.0041666,1.30206E-05
211,4/22/2015,1800,320,112,0.14,0,197,1.2,14.6,70,9.1,4.3,167,15.7,0.0041666,1.30206E-05
211,4/22/2015,1900,320,112,0.03,0,36,1.1,12.9,75,8.6,3.7,157,15.7,0.0041666,1.30206E-05
211,4/22/2015,2000,320,112,0,0,0,1.1,11.5,80,8.3,3.2,159,15.7,0.0041666,1.30206E-05
211,4/22/2015,2100,320,112,0,0,0,1.1,11.1,83,8.3,2.9,175,15.7,0.0041666,1.30206E-05
211,4/22/2015,2200,320,112,0,0,0,1.1,10.9,85,8.4,2.7,178,15.6,0.0041666,1.30206E-05
211,4/22/2015,2300,320,112,0,0,0,1.1,11.3,84,8.6,2.1,163,15.5,0.0041666,1.30206E-05
211,4/22/2015,2400,320,112,0,0,0,1.1,11.2,84,8.7,2.9,175,15.4,0.0041666,1.30206E-05
211,4/23/2015,100,320,113,0.01,0,0,1.1,11.1,85,8.7,2.7,201,15.4,0.0041666,1.30206E-05
211,4/23/2015,200,320,113,0,0,0,1.1,10.7,88,8.8,3.4,174,15.3,0.0041666,1.30206E-05
211,4/23/2015,300,320,113,0,0,0,1.1,10.6,88,8.7,3.6,178,15.3,0.0041666,1.30206E-05
211,4/23/2015,400,320,113,0,0,0,1.1,10.3,88,8.4,3.4,167,15.2,0.0041666,1.30206E-05
211,4/23/2015,500,320,113,0.01,0,0,1.1,10,87,7.9,3.5,162,15.2,0.0041666,1.30206E-05
211,4/23/2015,600,320,113,0.01,0,4,1,9.9,85,7.5,3.6,178,15.1,0.0041666,1.30206E-05
211,4/23/2015,700,320,113,0.04,0,50,1,10.2,84,7.6,3.3,207,15.1,0.0041666,1.30206E-05
211,4/23/2015,800,320,113,0.08,0,125,1,10.7,80,7.4,3.7,197,15,0.0041666,1.30206E-05
211,4/23/2015,900,320,113,0.09,0,168,1,11.1,78,7.4,3.7,181,15,0.0041666,1.30206E-05
211,4/23/2015,1000,320,113,0.12,0,231,1,11.6,77,7.6,3.4,194,14.9,0.0041666,1.30206E-05
211,4/23/2015,1100,320,113,0.18,0,324,1.1,12.2,75,7.9,3.8,189,14.9,0.0041666,1.30206E-05
211,4/23/2015,1200,320,113,0.35,0,557,1.1,13.3,73,8.5,3.9,188,14.9,0.0041666,1.30206E-05
211,4/23/2015,1300,320,113,0.53,0,820,1.1,14.3,70,8.9,4,203,15,0.0041666,1.30206E-05
211,4/23/2015,1400,320,113,0.54,0,825,1.1,14.6,68,8.8,4.3,201,15,0.0041666,1.30206E-05
211,4/23/2015,1500,320,113,0.48,0,721,1.1,15.3,65,8.8,4.3,186,15.2,0.0041666,1.30206E-05
211,4/23/2015,1600,320,113,0.36,0,547,1.1,14.9,65,8.4,4.1,191,15.3,0.0041666,1.30206E-05
211,4/23/2015,1700,320,113,0.23,0,350,1.1,14.1,66,8,4,179,15.4,0.0041666,1.30206E-05
211,4/23/2015,1800,320,113,0.12,0,178,1.1,13.4,69,7.8,3.2,184,15.5,0.0041666,1.30206E-05
211,4/23/2015,1900,320,113,0.02,0,23,1,11.6,76,7.4,3.5,180,15.5,0.0041666,1.30206E-05
211,4/23/2015,2000,320,113,0,0,0,1,10.6,80,7.2,3.4,181,15.5,0.0041666,1.30206E-05
211,4/23/2015,2100,320,113,0,0,0,1,10.7,81,7.6,3.7,179,15.4,0.0041666,1.30206E-05
211,4/23/2015,2200,320,113,0,0,0,1,10.6,81,7.5,3.5,190,15.4,0.0041666,1.30206E-05
211,4/23/2015,2300,320,113,0,0,0,1,10.8,80,7.5,3.3,178,15.3,0.0041666,1.30206E-05
211,4/23/2015,2400,320,113,0,0,0,1,10.8,81,7.6,3,176,15.2,0.0041666,1.30206E-05
211,4/24/2015,100,320,114,0.01,0,0,1.1,10.6,82,7.8,2.6,156,15.2,0.0041666,1.30206E-05
211,4/24/2015,200,320,114,0,0,0,1,10,84,7.3,1.9,178,15.1,0.0041666,1.30206E-05
211,4/24/2015,300,320,114,0,0,0,1,9.8,84,7.3,1.1,120,15.1,0.0041666,1.30206E-05
211,4/24/2015,400,320,114,0,0,0,1,9.9,85,7.5,0.9,169,15,0.0041666,1.30206E-05
211,4/24/2015,500,320,114,0,0,0,1.1,10,85,7.7,0.9,265,14.9,0.0041666,1.30206E-05
211,4/24/2015,600,320,114,0,0,10,1,9.6,85,7.2,1.1,308,14.9,0.0041666,1.30206E-05
211,4/24/2015,700,320,114,0.04,0,75,1.1,10.3,84,7.7,1.2,310,14.9,0.0041666,1.30206E-05
211,4/24/2015,800,320,114,0.17,0,318,1.1,12.8,76,8.8,1.2,302,14.8,0.0041666,1.30206E-05
211,4/24/2015,900,320,114,0.27,0,416,1.1,14.5,65,7.9,2.8,318,14.8,0.0041666,1.30206E-05
211,4/24/2015,1000,320,114,0.46,0,687,1,16.3,53,6.7,2.5,304,14.9,0.0041666,1.30206E-05
211,4/24/2015,1100,320,114,0.52,0,777,1,16.6,54,7.3,2.5,290,14.9,0.0041666,1.30206E-05
