Acerage,Precip,Air max,Air min,speed,Soil max,Soil min,Solar,RH max,RH min,Water Consumption
320,0,76,48,0,60,58,529,90,46,0.1
320,0,70,51,0,60,58,449,91,57,0.1
320,0,61,52,0,59,58,257,88,66,0.1
320,0,63,50,0,60,59,468,93,64,0.1
320,0,60,50,0,60,59,424,88,65,0.1
320,0.04,70,49,0,61,59,572,85,30,0.1
320,0.12,68,47,0,61,60,547,94,47,0.1
320,0,75,38,0,60,58,614,91,29,0.1
320,0,85,42,0,62,58,620,88,30,0.1
320,0,81,48,0,63,60,600,91,37,0.1
320,0,81,45,0,63,60,631,91,30,0.1
320,0,91,44,0,63,60,627,84,21,0.1
320,0.11,83,49,0,63,61,626,90,29,0.1
320,0,80,49,0,64,61,592,90,31,0.1
320,0,68,48,0,63,61,594,86,50,0.1
320,0.11,69,49,0,63,61,541,82,54,0.1
320,0,64,48,0,63,61,596,84,58,0.1
320,0,66,48,0,62,60,561,83,55,0.1
320,0.01,57,49,0,61,60,214,92,68,0.1
320,0,66,48,0,62,60,481,92,58,0.1
320,0,68,49,0,63,61,475,90,60,0.1
320,0,73,49,0,64,61,565,88,52,0.1
320,0,72,47,0,64,61,585,91,45,0.1
320,0,69,40,0,62,60,637,88,30,0.1
320,0,66,42,0,63,60,601,81,47,0.1
320,0,65,47,0,62,61,401,83,57,0.1
320,0.24,69,45,0,64,60,565,88,50,0.1
320,0,68,46,0,63,61,578,89,56,0.1
320,0,70,54,0,64,62,545,74,51,0.1
320,0,69,53,0,64,62,450,72,52,0.1
320,0,69,54,0,64,62,473,75,53,0.1
320,0,69,53,0,64,62,480,85,54,0.1
320,0,67,53,0,64,62,443,83,59,0.1
320,0,70,52,0,64,62,433,82,54,0.1
320,0,66,52,0,63,62,411,83,61,0.1
320,0,70,48,0,63,61,547,89,57,0.1
320,0,73,53,0,64,62,518,88,52,0.1
320,0,70,53,0,67,62,559,86,57,0.1
320,0,71,49,0,66,65,582,86,60,0.1
320,0,81,47,0,66,64,596,88,32,0.1
320,0,81,53,0,67,64,609,88,42,0.1
320,0,86,48,0,67,64,623,91,29,0.1
320,0,79,56,0,68,66,625,88,41,0.1
320,0,70,52,0,67,65,495,86,56,0.1
320,0,67,53,0,65,64,432,87,61,0.1
320,0,73,52,0,66,64,573,89,56,0.1
320,0,77,53,0,69,64,591,92,49,0.1
320,0,87,50,0,69,66,653,93,39,0.1
320,0,101,54,0,70,67,663,81,22,0.1
320,0,80,54,0,70,67,409,88,51,0.1
320,0,81,60,0,69,68,357,85,56,0.1
320,0,90,57,0,71,68,609,88,41,0.1
320,0,88,54,0,71,68,654,91,37,0.1
320,0,80,54,0,70,68,658,94,48,0.1
320,0,78,51,0,69,67,634,88,49,0.1
320,0,79,45,0,69,67,590,92,46,0.1
320,0,85,48,0,70,67,636,92,39,0.1
320,0,86,48,0,70,67,678,94,32,0.1
320,0,88,46,0,72,66,701,84,20,0.1
320,0,88,48,0,71,68,696,83,31,0.1
320,0,84,52,0,70,68,641,93,29,0.1
320,0,86,44,0,70,67,697,87,28,0.1
320,0,80,49,0,71,67,691,91,44,0.1
320,0,80,51,0,70,68,660,90,46,0.1
320,0,89,51,0,70,68,678,92,32,0.1
320,0,82,53,0,71,68,638,88,47,0.1
320,0,79,54,0,70,68,541,90,50,0.1
320,0,80,57,0,70,68,684,91,50,0.1
320,0,87,57,0,70,69,650,89,26,0.1
320,0,102,60,0,72,69,604,81,20,0.1
320,0,93,55,0,71,69,449,86,30,0.1
320,0,82,57,0,70,69,405,89,40,0.1
320,0,88,58,0,71,69,658,92,37,0.1
320,0,83,56,0,71,69,636,94,50,0.1
320,0,80,58,0,71,69,649,90,55,0.1
320,0,84,59,7,71,70,600,89.3,44.1,0.1
320,0,82,57,0,72,70,633,89,49,0.1
320,0,75,57,0,71,69,452,87,50,0.1
320,0,75,59,0,70,69,448,82,57,0.1
320,0.1,77,57,0,72,69,439,86,55,0.1
320,0,81,51,0,72,69,618,91,41,0.1
320,0,82,56,0,72,69,598,89,43,0.1
320,0,85,57,0,72,70,637,86,39,0.1
320,0,78,54,0,71,69,608,91,54,0.1
320,0,77,58,0,70,69,520,89,54,0.1
320,0,81,57,0,70,69,606,92,48,0.1
320,0,82,56,0,70,68,603,91,48,0.1
320,0,82,55,0,71,68,616,91,41,0.1
320,0,86,57,0,71,69,370,82,47,0.1
320,0,93,61,5,72,70,557,85.2,40,0.1
320,0,83,57,5,72,70,614,91.6,51.5,0.1
320,0,78,57,0,71,69,585,92,53,0.1
320,0,78,56,0,71,69,587,87,49,0.1
320,0,89,46,0,72,68,660,90,24,0.1
320,0,87,50,0,72,69,649,86,39,0.1
320,0,79,56,0,71,69,574,91,54,0.1
320,0,89,53,0,72,69,616,93,33,0.1
320,0,97,49,0,73,69,658,86,23,0.1
320,0,85,50,0,72,70,630,91,44,0.1
320,0,86,57,0,72,70,561,92,47,0.1
320,0,82,58,0,73,70,564,91,55,0.1
320,0,85,60,0,73,71,574,90,47,0.1
320,0,83,58,5,73,71,537,90.2,50.4,0.1
320,0,80,55,4,72,70,553,90,46.1,0.1
320,0,77,51,0,72,69,524,91,47,0.1
320,0,86,51,4,72,70,536,92,35.8,0.1
320,0.05,77,54,5,71,70,307,92.1,59,0.1
320,0.02,78,56,5,71,69,541,92.3,49.2,0.1
320,0,79,54,6,71,70,507,92.4,52.2,0.1
320,0,82,52,5,71,69,542,93.2,45.1,0.1
